Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_CuSO4_20251118.tnt
Starting Point:	1	Ending Point:	32000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
2177.000	-4952.000	0.000
3713.000	-11288.000	4.000
1799.000	-14466.000	8.000
-1096.000	-15620.000	12.000
-3277.000	-12800.000	16.000
0.000	0.000	20.000
0.000	0.000	24.000
0.000	0.000	28.000
2125.000	-6243.000	32.000
3911.000	-14526.000	36.000
1942.000	-17943.000	40.000
-1524.000	-18518.000	44.000
-4118.000	-14077.000	48.000
0.000	0.000	52.000
0.000	0.000	56.000
0.000	0.000	60.000
2106.000	-5476.000	64.000
3591.000	-12925.000	68.000
1384.000	-17016.000	72.000
-2061.000	-17862.000	76.000
-4601.000	-12990.000	80.000
0.000	0.000	84.000
0.000	0.000	88.000
0.000	0.000	92.000
1499.000	-5162.000	96.000
2669.000	-12470.000	100.000
896.000	-17151.000	104.000
-2338.000	-18495.000	108.000
-4645.000	-13858.000	112.000
0.000	0.000	116.000
0.000	0.000	120.000
0.000	0.000	124.000
2015.000	-5134.000	128.000
3843.000	-12328.000	132.000
2030.000	-16801.000	136.000
-1421.000	-17902.000	140.000
-3755.000	-13311.000	144.000
0.000	0.000	148.000
0.000	0.000	152.000
0.000	0.000	156.000
1977.000	-5129.000	160.000
3698.000	-12574.000	164.000
1510.000	-17182.000	168.000
-1869.000	-18274.000	172.000
-4243.000	-13546.000	176.000
0.000	0.000	180.000
0.000	0.000	184.000
0.000	0.000	188.000
1963.000	-6095.000	192.000
3265.000	-14085.000	196.000
725.000	-17841.000	200.000
-2808.000	-18174.000	204.000
-5043.000	-13222.000	208.000
0.000	0.000	212.000
0.000	0.000	216.000
0.000	0.000	220.000
1754.000	-5505.000	224.000
3259.000	-12908.000	228.000
1495.000	-17338.000	232.000
-1924.000	-18166.000	236.000
-4161.000	-13250.000	240.000
0.000	0.000	244.000
0.000	0.000	248.000
0.000	0.000	252.000
1723.000	-5243.000	256.000
3243.000	-13003.000	260.000
1256.000	-17763.000	264.000
-1903.000	-18814.000	268.000
-4477.000	-13996.000	272.000
0.000	0.000	276.000
0.000	0.000	280.000
0.000	0.000	284.000
2581.000	-5192.000	288.000
4499.000	-12704.000	292.000
1874.000	-17540.000	296.000
