Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_silicon_oil_20251204.tnt
Starting Point:	1	Ending Point:	40000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
29322.000	-526942.000	0.000
52893.000	-597894.000	4.000
91718.000	-642215.000	8.000
134990.000	-644970.000	12.000
165111.000	-609427.000	16.000
174986.000	-545659.000	20.000
159400.000	-467241.000	24.000
131940.000	-388628.000	28.000
28059.000	-589615.000	32.000
70679.000	-678614.000	36.000
131231.000	-732134.000	40.000
203008.000	-721341.000	44.000
249873.000	-661581.000	48.000
261430.000	-566410.000	52.000
239953.000	-458413.000	56.000
194202.000	-351504.000	60.000
1777.000	-557337.000	64.000
45164.000	-645249.000	68.000
113891.000	-698978.000	72.000
187305.000	-686487.000	76.000
234665.000	-618709.000	80.000
242240.000	-520439.000	84.000
215063.000	-417052.000	88.000
161186.000	-320259.000	92.000
11257.000	-561289.000	96.000
47964.000	-654956.000	100.000
116456.000	-710527.000	104.000
192049.000	-702337.000	108.000
242940.000	-632402.000	112.000
246817.000	-537672.000	116.000
213980.000	-438477.000	120.000
161743.000	-346043.000	124.000
9274.000	-555790.000	128.000
47955.000	-646036.000	132.000
115319.000	-699560.000	136.000
193274.000	-690426.000	140.000
240600.000	-617632.000	144.000
242806.000	-522277.000	148.000
213968.000	-422842.000	152.000
161331.000	-333105.000	156.000
9480.000	-555074.000	160.000
42738.000	-648024.000	164.000
114218.000	-702087.000	168.000
195770.000	-697180.000	172.000
240744.000	-622477.000	176.000
242132.000	-524008.000	180.000
208501.000	-430403.000	184.000
158461.000	-337305.000	188.000
11707.000	-551116.000	192.000
46992.000	-642376.000	196.000
113290.000	-698900.000	200.000
195924.000	-690247.000	204.000
241271.000	-615154.000	208.000
244301.000	-521194.000	212.000
211243.000	-424319.000	216.000
161798.000	-336006.000	220.000
8664.000	-548137.000	224.000
44619.000	-643217.000	228.000
108025.000	-700122.000	232.000
192917.000	-690450.000	236.000
238306.000	-615122.000	240.000
238361.000	-521849.000	244.000
207548.000	-426100.000	248.000
158879.000	-336121.000	252.000
10601.000	-547758.000	256.000
47333.000	-639343.000	260.000
113174.000	-695321.000	264.000
196133.000	-688426.000	268.000
238745.000	-615603.000	272.000
244028.000	-518774.000	276.000
209663.000	-425148.000	280.000
161569.000	-336633.000	284.000
8816.000	-547541.000	288.000
40681.000	-639125.000	292.000
110497.000	-698189.000	296.000
193089.000	-688199.000	300.000
238259.000	-609968.000	304.000
237366.000	-518936.000	308.000
208756.000	-426820.000	312.000
159836.000	-332554.000	316.000
9519.000	-543668.000	320.000
41538.000	-635810.000	324.000
110174.000	-697773.000	328.000
199478.000	-682794.000	332.000
240017.000	-608450.000	336.000
239670.000	-517120.000	340.000
208853.000	-423144.000	344.000
159547.000	-332623.000	348.000
9190.000	-544092.000	352.000
41753.000	-636216.000	356.000
110141.000	-694854.000	360.000
192969.000	-685947.000	364.000
238573.000	-608038.000	368.000
238562.000	-513720.000	372.000
206511.000	-421207.000	376.000
160434.000	-334221.000	380.000
8702.000	-542670.000	384.000
41784.000	-633334.000	388.000
109312.000	-694452.000	392.000
193538.000	-684907.000	396.000
239460.000	-608715.000	400.000
238385.000	-515510.000	404.000
207165.000	-423118.000	408.000
159086.000	-332555.000	412.000
10283.000	-541433.000	416.000
42644.000	-633159.000	420.000
110092.000	-691333.000	424.000
195779.000	-680700.000	428.000
240037.000	-604249.000	432.000
240130.000	-512291.000	436.000
207637.000	-420917.000	440.000
158726.000	-329325.000	444.000
6052.000	-540186.000	448.000
39528.000	-632752.000	452.000
107766.000	-688222.000	456.000
190073.000	-679768.000	460.000
236215.000	-605993.000	464.000
236492.000	-513467.000	468.000
206626.000	-419758.000	472.000
157826.000	-331662.000	476.000
9707.000	-541673.000	480.000
45232.000	-631816.000	484.000
109977.000	-688871.000	488.000
194951.000	-677493.000	492.000
238983.000	-602750.000	496.000
235211.000	-507227.000	500.000
205858.000	-419682.000	504.000
159173.000	-327529.000	508.000
9246.000	-535343.000	512.000
44657.000	-628084.000	516.000
111461.000	-688489.000	520.000
195004.000	-675794.000	524.000
237208.000	-602149.000	528.000
237403.000	-509884.000	532.000
206060.000	-416740.000	536.000
159743.000	-324604.000	540.000
2086.000	-532702.000	544.000
36857.000	-627773.000	548.000
103769.000	-687764.000	552.000
187491.000	-677242.000	556.000
232964.000	-606742.000	560.000
231752.000	-512883.000	564.000
205539.000	-418190.000	568.000
156973.000	-330012.000	572.000
8295.000	-535669.000	576.000
43896.000	-626173.000	580.000
112129.000	-684240.000	584.000
193443.000	-674490.000	588.000
240058.000	-599317.000	592.000
238315.000	-510031.000	596.000
207859.000	-414893.000	600.000
159034.000	-326093.000	604.000
7983.000	-536345.000	608.000
39634.000	-627288.000	612.000
107228.000	-682478.000	616.000
188155.000	-673129.000	620.000
236067.000	-595741.000	624.000
233350.000	-504751.000	628.000
201332.000	-413812.000	632.000
153623.000	-324000.000	636.000
6970.000	-533409.000	640.000
40699.000	-622319.000	644.000
109801.000	-680901.000	648.000
192222.000	-671333.000	652.000
236636.000	-596725.000	656.000
234237.000	-505231.000	660.000
204043.000	-413432.000	664.000
155203.000	-326882.000	668.000
13243.000	-534176.000	672.000
41203.000	-625099.000	676.000
109382.000	-681272.000	680.000
191715.000	-666857.000	684.000
235346.000	-597069.000	688.000
233743.000	-504811.000	692.000
204633.000	-410054.000	696.000
157744.000	-324281.000	700.000
4761.000	-530266.000	704.000
41012.000	-625234.000	708.000
105610.000	-680423.000	712.000
188357.000	-668808.000	716.000
233593.000	-597383.000	720.000
235230.000	-502871.000	724.000
203446.000	-412094.000	728.000
155154.000	-325124.000	732.000
7821.000	-531115.000	736.000
40516.000	-621884.000	740.000
110707.000	-677004.000	744.000
191019.000	-669108.000	748.000
235571.000	-593312.000	752.000
234584.000	-501429.000	756.000
203703.000	-410455.000	760.000
157268.000	-322492.000	764.000
8895.000	-528590.000	768.000
36393.000	-617391.000	772.000
105960.000	-675817.000	776.000
185531.000	-667732.000	780.000
231943.000	-593688.000	784.000
231710.000	-502091.000	788.000
201083.000	-407802.000	792.000
154327.000	-322714.000	796.000
6285.000	-525271.000	800.000
40444.000	-616837.000	804.000
106888.000	-674530.000	808.000
189992.000	-663915.000	812.000
232603.000	-591640.000	816.000
232935.000	-500343.000	820.000
203477.000	-408492.000	824.000
157280.000	-323512.000	828.000
8012.000	-526764.000	832.000
39722.000	-616348.000	836.000
104660.000	-674128.000	840.000
188819.000	-664547.000	844.000
229646.000	-592151.000	848.000
233162.000	-498343.000	852.000
200765.000	-404894.000	856.000
151993.000	-321381.000	860.000
7146.000	-526611.000	864.000
38336.000	-617521.000	868.000
106351.000	-673578.000	872.000
187345.000	-664665.000	876.000
232128.000	-590720.000	880.000
232964.000	-496973.000	884.000
202666.000	-406268.000	888.000
154030.000	-322172.000	892.000
9577.000	-523521.000	896.000
